date,period_start,long_ret,short_ret,strategy_ret,turnover,cost,strategy_ret_net,ic,n_long,n_short,universe_size
2019-05-10,2019-05-03,-0.001284674528400569,-0.032277535567593295,0.015496430519596363,1.0,0.0005,0.014996430519596362,0.32159381475808124,47,47,477
2019-05-17,2019-05-10,0.010679934405282098,-0.029933346472181804,0.02030664043873195,0.23404255319148934,0.00011702127659574467,0.020189619162136206,0.36614196702204127,47,47,477
2019-05-24,2019-05-17,0.004841508345087417,-0.031659334171375515,0.018250421258231467,0.2340425531914893,0.00011702127659574466,0.018133399981635722,0.3602774938799553,47,47,477
2019-05-31,2019-05-24,-0.01583670683952583,-0.039761072195517735,0.011962182677995953,0.19148936170212766,9.574468085106382e-05,0.01186643799714489,0.2927501465573993,47,47,477
2019-06-07,2019-05-31,0.036200734130832066,0.04692058180255609,-0.005359923835862011,0.19148936170212766,9.574468085106382e-05,-0.0054556685167130746,-0.12799895712604417,47,47,477
2019-06-14,2019-06-07,0.008207122617606602,-0.00018185416355180942,0.004194488390579206,0.23404255319148937,0.00011702127659574468,0.004077467113983461,0.008948459781796984,47,47,477
2019-06-21,2019-06-14,0.004774449855858351,0.040624333390780316,-0.017924941767460983,0.0425531914893617,2.1276595744680852e-05,-0.017946218363205663,-0.3290224559376245,47,47,479
2019-06-28,2019-06-21,-0.01102363525312572,0.01890732902358423,-0.014965482138354975,0.18750000000000003,9.375000000000002e-05,-0.015059232138354976,-0.30074523708721723,48,48,480
2019-07-05,2019-06-28,0.020141673279828985,0.011430676023255789,0.004355498628286598,0.25,0.000125,0.004230498628286598,0.1904876948488602,48,48,480
2019-07-12,2019-07-05,0.0053880339343360785,0.009453220107048453,-0.0020325930863561875,0.14583333333333331,7.291666666666666e-05,-0.0021055097530228543,-0.10021441065282401,48,48,480
2019-07-19,2019-07-12,-0.005556938257852038,-0.020469881018812322,0.007456471380480141,0.10416666666666666,5.208333333333333e-05,0.007404388047146808,0.03027454628369011,48,48,480
2019-07-26,2019-07-19,0.007925624218121824,0.02779844227227422,-0.0099364090270762,0.14583333333333331,7.291666666666666e-05,-0.010009325693742866,-0.16150004991341108,48,48,480
2019-08-02,2019-07-26,-0.01137453353301194,-0.04923354722263031,0.018929506844809187,0.1875,9.375e-05,0.018835756844809187,0.38076456495036864,48,48,480
2019-08-09,2019-08-02,0.012864245804004616,-0.007543757524141989,0.010204001664073302,0.1875,9.375e-05,0.010110251664073302,0.33050089193095455,48,48,480
