date,period_start,long_ret,short_ret,strategy_ret,turnover,cost,strategy_ret_net,ic,n_long,n_short,universe_size
2019-08-16,2019-08-09,-0.0058607582852201875,-0.016191085620627033,0.0051651636677034225,0.9999999999999998,0.0004999999999999999,0.004665163667703423,0.17335093722267905,38,38,381
2019-08-23,2019-08-16,-0.008394706203137653,-0.016926636182779727,0.004265964989821037,0.5526315789473684,0.0002763157894736842,0.003989649200347353,0.16510025320959984,38,38,381
2019-08-30,2019-08-23,0.029185820919404887,0.02387261675776373,0.0026566020808205786,0.5263157894736842,0.0002631578947368421,0.0023934441860837367,-0.04053827110134242,38,38,381
2019-09-06,2019-08-30,0.01582043630103562,0.02077440413969248,-0.0024769839193284297,0.6052631578947367,0.0003026315789473684,-0.0027796154982757983,-0.174735453466498,38,38,381
2019-09-13,2019-09-06,-0.030434111276810095,0.03886094121138449,-0.034647526244097296,0.631578947368421,0.00031578947368421053,-0.03496331571778151,-0.5894966070291496,38,38,381
2019-09-20,2019-09-13,0.01523868887928003,-0.009577202661461498,0.012407945770370764,0.5,0.00025,0.012157945770370764,0.3522016783317158,38,38,383
2019-09-27,2019-09-20,-0.008885472277848921,-0.006686106417643904,-0.0010996829301025087,0.42105263157894735,0.00021052631578947367,-0.0013102092458919825,0.007431504920542767,38,38,384
2019-10-04,2019-09-27,-0.0007542593292821335,-0.015970172829160405,0.007607956749939136,0.3684210526315789,0.00018421052631578948,0.007423746223623347,0.30676246072755614,38,38,384
2019-10-11,2019-10-04,0.00325171946737445,0.008318590782799703,-0.0025334356577126262,0.4473684210526315,0.00022368421052631576,-0.002757119868238942,-0.26484163857284254,38,38,384
2019-10-18,2019-10-11,0.010135468894484216,0.01571954652072141,-0.002792038813118598,0.7368421052631579,0.00036842105263157896,-0.003160459865750177,-0.12874351497066902,38,38,384
2019-10-25,2019-10-18,-0.009064144883973817,0.035687765253353765,-0.022375955068663793,0.631578947368421,0.00031578947368421053,-0.022691744542348003,-0.46967846122545864,38,38,384
2019-11-01,2019-10-25,0.00915489185208701,0.006473040319738128,0.0013409257661744414,0.631578947368421,0.00031578947368421053,0.0010251362924902309,-0.0765344764363746,38,38,384
2019-11-08,2019-11-01,-0.01906260239038792,0.024426299446046285,-0.021744450918217105,0.736842105263158,0.000368421052631579,-0.022112871970848685,-0.5011658217761351,38,38,384
2019-11-15,2019-11-08,0.021069876706104457,0.00567584175956958,0.007697017473267439,0.6842105263157894,0.0003421052631578947,0.007354912210109544,0.29907328746383155,38,38,385
2019-11-22,2019-11-15,-0.003417945073842153,0.005688434970241363,-0.004553190022041758,0.5263157894736842,0.0002631578947368421,-0.0048163479167785996,-0.11820747257923424,38,38,385
2019-11-29,2019-11-22,0.009069842772140351,0.010857400383558211,-0.0008937788057089297,0.631578947368421,0.00031578947368421053,-0.0012095682793931402,-0.06918959804551342,38,38,385
2019-12-06,2019-11-29,-0.0029871444019179873,0.0006073019730353937,-0.0017972231874766906,0.6578947368421052,0.0003289473684210526,-0.0021261705558977433,0.06690540676939641,38,38,385
2019-12-13,2019-12-06,0.005529197512518872,0.008215046377957672,-0.0013429244327194,0.8684210526315789,0.00043421052631578943,-0.0017771349590351895,0.04051775620752305,38,38,385
2019-12-20,2019-12-13,0.013948402423225361,0.01782163982475442,-0.00193661870076453,0.5789473684210527,0.00028947368421052634,-0.0022260923849750564,-0.12440253833379004,38,38,386
2019-12-27,2019-12-20,0.0017087102967242001,0.0031831650840196506,-0.0007372273936477252,0.5526315789473684,0.0002763157894736842,-0.0010135431831214095,-0.006065822356941769,38,38,386
2020-01-03,2019-12-27,-0.0032871894642609576,0.0025730886098170023,-0.00293013903703898,0.42105263157894735,0.00021052631578947367,-0.0031406653528284535,-0.06279419586849495,38,38,386
2020-01-10,2020-01-03,0.01393252613733503,0.006336836193875772,0.0037978449717296285,0.39473684210526316,0.00019736842105263157,0.003600476550676997,0.02762915680134622,38,38,386
2020-01-17,2020-01-10,0.01983234186496877,0.024347380747171854,-0.002257519441101542,0.47368421052631576,0.00023684210526315788,-0.0024943615463646996,-0.07575282892791026,38,38,386
2020-01-24,2020-01-17,-0.01557345011610079,-0.00809810982165186,-0.0037376701472244646,0.763157894736842,0.000381578947368421,-0.004119249094592886,-0.10950330947921018,38,38,386
2020-01-31,2020-01-24,-0.037170892991683975,-0.023989607726669356,-0.006590642632507309,0.6052631578947368,0.00030263157894736844,-0.006893274211454678,-0.053723783546653775,38,38,386
2020-02-07,2020-01-31,0.026319386805310634,0.03875047398687722,-0.0062155435907832925,0.763157894736842,0.000381578947368421,-0.006597122538151714,0.04419214957834069,38,38,386
2020-02-14,2020-02-07,0.025213402365002007,0.02055251378961734,0.0023304442876923327,0.8684210526315788,0.0004342105263157894,0.0018962337613765434,-0.08134741107388416,38,38,386
2020-02-21,2020-02-14,-0.014429266193710882,-0.01190689879423494,-0.0012611836997379706,0.5789473684210525,0.0002894736842105263,-0.001550657383948497,-0.11086434551912322,38,38,386
2020-02-28,2020-02-21,-0.1254250815465481,-0.11604643546891157,-0.00468932303881827,0.5263157894736842,0.0002631578947368421,-0.004952480933555112,-0.06793443532809722,38,38,386
2020-03-06,2020-02-28,-0.022279238729493382,0.014968975270880971,-0.018624107000187178,0.5263157894736842,0.0002631578947368421,-0.01888726489492402,-0.2465775618926601,38,38,386
2020-03-13,2020-03-06,-0.11541174548102075,-0.12016504968634302,0.0023766521026611365,0.763157894736842,0.000381578947368421,0.0019950731552927153,-0.03959116755839253,38,38,386
2020-03-20,2020-03-13,-0.16243094641683112,-0.13316779511323085,-0.014631575651800136,1.026315789473684,0.000513157894736842,-0.015144733546536978,-0.13197678330826904,38,38,386
2020-03-27,2020-03-20,0.14883510766986086,0.09955278286763491,0.02464116240111297,0.5526315789473684,0.0002763157894736842,0.024364846611639287,0.1953437854682943,38,38,387
2020-04-03,2020-03-27,-0.024054444799806313,-0.03146756034649701,0.0037065577733453488,0.49999999999999994,0.00024999999999999995,0.003456557773345349,0.07006972179346556,38,38,387
2020-04-09,2020-04-03,0.11600751540860983,0.16290710485648932,-0.023449794723939744,0.4473684210526315,0.00022368421052631576,-0.02367347893446606,-0.19240632229527924,38,38,387
2020-04-17,2020-04-09,0.0651977122203591,-0.03046373852202266,0.047830725371190874,0.5263157894736842,0.0002631578947368421,0.047567567476454034,0.37878430266719504,38,38,387
2020-04-24,2020-04-17,-0.01098064105875203,-0.008830149426797239,-0.0010752458159773957,0.894736842105263,0.0004473684210526315,-0.0015226142370300274,0.05626645697800713,38,38,387
2020-05-01,2020-04-24,-0.014278567187206808,0.025958994482055017,-0.020118780834630912,1.0,0.0005,-0.020618780834630913,-0.23931794871157833,38,38,387
2020-05-08,2020-05-01,0.06321520075981969,0.0454066128055281,0.008904293977145795,0.6842105263157895,0.00034210526315789477,0.0085621887139879,0.01866494079318131,38,38,387
2020-05-15,2020-05-08,0.012786596745949034,-0.07360773456940058,0.043197165657674806,0.631578947368421,0.00031578947368421053,0.04288137618399059,0.5946959203878743,38,38,387
2020-05-22,2020-05-15,0.003844882125742042,0.08451667430077714,-0.04033589608751755,0.5526315789473684,0.0002763157894736842,-0.04061221187699124,-0.5473493059446155,38,38,387
2020-05-29,2020-05-22,0.027895958535269067,0.051143119651598394,-0.011623580558164663,0.6578947368421052,0.0003289473684210526,-0.011952527926585715,-0.20097585557652167,38,38,387
2020-06-05,2020-05-29,-0.003603813745809718,0.13307325641984968,-0.06833853508282971,0.4736842105263158,0.0002368421052631579,-0.06857537718809287,-0.6169287567872418,38,38,387
2020-06-12,2020-06-05,-0.013877300193812003,-0.08949099098123214,0.03780684539371007,0.4736842105263158,0.0002368421052631579,0.03757000328844691,0.6027497206014554,38,38,387
2020-06-19,2020-06-12,0.04751298611701151,0.003617760642509837,0.02194761273725084,0.49999999999999994,0.00024999999999999995,0.02169761273725084,0.3508788166006835,38,38,387
2020-06-26,2020-06-19,-0.006177878792451896,-0.05381547653997677,0.02381879887376244,0.42105263157894735,0.00021052631578947367,0.023608272557972966,0.3682077375281003,38,38,387
2020-07-02,2020-06-26,0.037280463671119875,0.033978596346921776,0.0016509336620990495,0.6578947368421053,0.0003289473684210527,0.0013219862936779967,0.016113811584139024,38,38,387
2020-07-10,2020-07-02,0.039459033497598085,-0.01255774475982188,0.026008389128709983,0.5263157894736842,0.0002631578947368421,0.02574523123397314,0.38461782130004485,38,38,387
2020-07-17,2020-07-10,-0.014948197696023017,0.04862204664284656,-0.03178512216943479,0.5526315789473684,0.0002763157894736842,-0.03206143795890848,-0.3658009141994916,38,38,387
2020-07-24,2020-07-17,-0.0014260447176615272,0.009727899606374905,-0.005576972162018216,0.5789473684210527,0.00028947368421052634,-0.005866445846228742,0.040098299845792544,38,38,387
2020-07-31,2020-07-24,0.022734031655947978,-0.004200833628902968,0.013467432642425474,0.42105263157894735,0.00021052631578947367,0.013256906326636,0.25841580714606033,38,38,387
2020-08-07,2020-07-31,0.013410776589176405,0.033083992445478716,-0.009836607928151156,0.42105263157894735,0.00021052631578947367,-0.010047134243940629,-0.18768770633981074,38,38,387
2020-08-14,2020-08-07,-0.007821112276325572,0.024207759539050255,-0.01601443590768791,0.4473684210526316,0.0002236842105263158,-0.01623812011821423,-0.21349713396513223,38,38,387
2020-08-21,2020-08-14,0.01602167442010986,-0.041676734811066575,0.028849204615588216,0.5,0.00025,0.028599204615588215,0.46951936825080154,38,38,387
2020-08-28,2020-08-21,0.005460062671047159,0.053454514831074273,-0.023997226080013558,0.5526315789473684,0.0002763157894736842,-0.024273541869487242,-0.37777519669698956,38,38,387
2020-09-04,2020-08-28,-0.03865298160096594,0.0022889164886284656,-0.020470949044797203,0.5526315789473684,0.0002763157894736842,-0.020747264834270886,-0.40877984305648546,38,38,387
2020-09-11,2020-09-04,-0.010886560675309465,-0.030045021732804825,0.00957923052874768,0.8421052631578947,0.00042105263157894734,0.009158177897168733,0.16405321884928792,38,38,387
2020-09-18,2020-09-11,-0.004358400727853256,0.01808394401120798,-0.011221172369530618,0.763157894736842,0.000381578947368421,-0.011602751316899038,-0.08150901300988941,38,38,387
2020-09-25,2020-09-18,-0.012256866260896658,-0.03134912668287749,0.009546130210990416,0.868421052631579,0.0004342105263157895,0.009111919684674627,0.05556287475169033,38,38,389
2020-10-02,2020-09-25,0.031512095711228844,0.027514133057018927,0.001998981327104958,0.8157894736842105,0.00040789473684210524,0.0015910865902628527,-0.04980541415492254,38,38,389
2020-10-09,2020-10-02,0.04397676400849568,0.03217937237977238,0.00589869581436165,0.6052631578947368,0.00030263157894736844,0.005596064235414281,0.1281152657699784,38,38,389
2020-10-16,2020-10-09,0.009976910729800474,-0.013021456448978133,0.011499183589389304,0.6052631578947367,0.0003026315789473684,0.011196552010441936,0.18928095994324498,38,38,389
2020-10-23,2020-10-16,0.01041026399725656,-0.00179749105259834,0.00610387752492745,0.6052631578947368,0.00030263157894736844,0.005801245945980082,0.00921556303818204,38,38,389
2020-10-30,2020-10-23,-0.06009178808255006,-0.05730050989978664,-0.0013956390913817084,0.7105263157894737,0.00035526315789473687,-0.0017509022492764453,-0.030880743034560648,38,38,389
2020-11-06,2020-10-30,0.08865292083079516,0.05829592434654548,0.015178498242124843,0.5526315789473684,0.0002763157894736842,0.01490218245265116,0.32844643232102494,38,38,389
2020-11-13,2020-11-06,0.0253114524824095,0.07694463159103342,-0.02581658955431196,0.763157894736842,0.000381578947368421,-0.02619816850168038,-0.2419838582428358,38,38,389
2020-11-20,2020-11-13,0.01687406973538404,-0.006180202462469592,0.011527136098926817,0.5526315789473684,0.0002763157894736842,0.011250820309453133,0.20318166713894592,38,38,389
2020-11-27,2020-11-20,0.02196385447354335,0.030829653599496402,-0.004432899562976527,0.5526315789473684,0.0002763157894736842,-0.0047092153524502115,-0.07133115473295157,38,38,389
2020-12-04,2020-11-27,0.008232674306726596,0.02953124590184738,-0.01064928579756039,0.3421052631578947,0.00017105263157894736,-0.010820338429139337,-0.18535091707116194,38,38,389
